,strategy,wealth,game_ending,games_played,player_bet
0,strategy_5,2500000.0,0.0,0,10
1,strategy_5,2499990.0,-1.0,1,10
2,strategy_5,2499980.0,-1.0,2,10
3,strategy_5,2499970.0,-1.0,3,10
4,strategy_5,2499960.0,-1.0,4,10
5,strategy_5,2499950.0,-1.0,5,10
6,strategy_5,2499940.0,-1.0,6,10
7,strategy_5,2499930.0,-1.0,7,10
8,strategy_5,2499920.0,-1.0,8,10
9,strategy_5,2499910.0,-1.0,9,10
10,strategy_5,2499920.0,1.0,10,10
11,strategy_5,2499930.0,1.0,11,10
12,strategy_5,2499940.0,1.0,12,10
13,strategy_5,2499950.0,1.0,13,10
14,strategy_5,2499940.0,-1.0,14,10
15,strategy_5,2499950.0,1.0,15,10
16,strategy_5,2499960.0,1.0,16,10
17,strategy_5,2499970.0,1.0,17,10
18,strategy_5,2499970.0,0.0,18,10
19,strategy_5,2499980.0,1.0,19,10
20,strategy_5,2499970.0,-1.0,20,10
21,strategy_5,2499960.0,-1.0,21,10
22,strategy_5,2499970.0,1.0,22,10
23,strategy_5,2499970.0,0.0,23,10
24,strategy_5,2499960.0,-1.0,24,10
25,strategy_5,2499950.0,-1.0,25,10
26,strategy_5,2499960.0,1.0,26,10
27,strategy_5,2499950.0,-1.0,27,10
28,strategy_5,2499940.0,-1.0,28,10
29,strategy_5,2499950.0,1.0,29,10
30,strategy_5,2499965.0,1.5,30,10
31,strategy_5,2499955.0,-1.0,31,10
32,strategy_5,2499945.0,-1.0,32,10
33,strategy_5,2499955.0,1.0,33,10
34,strategy_5,2499945.0,-1.0,34,10
35,strategy_5,2499955.0,1.0,35,10
36,strategy_5,2499965.0,1.0,36,10
37,strategy_5,2499980.0,1.5,37,10
38,strategy_5,2499990.0,1.0,38,10
39,strategy_5,2499980.0,-1.0,39,10
40,strategy_5,2499990.0,1.0,40,10
41,strategy_5,2500000.0,1.0,41,10
42,strategy_5,2499990.0,-1.0,42,10
43,strategy_5,2499980.0,-1.0,43,10
44,strategy_5,2499970.0,-1.0,44,10
45,strategy_5,2499980.0,1.0,45,10
46,strategy_5,2499990.0,1.0,46,10
47,strategy_5,2499980.0,-1.0,47,10
48,strategy_5,2499970.0,-1.0,48,10
49,strategy_5,2499960.0,-1.0,49,10
50,strategy_5,2499950.0,-1.0,50,10
51,strategy_5,2499940.0,-1.0,51,10
52,strategy_5,2499930.0,-1.0,52,10
53,strategy_5,2499940.0,1.0,53,10
54,strategy_5,2499930.0,-1.0,54,10
55,strategy_5,2499940.0,1.0,55,10
56,strategy_5,2499930.0,-1.0,56,10
57,strategy_5,2499920.0,-1.0,57,10
58,strategy_5,2499910.0,-1.0,58,10
59,strategy_5,2499920.0,1.0,59,10
60,strategy_5,2499910.0,-1.0,60,10
61,strategy_5,2499900.0,-1.0,61,10
62,strategy_5,2499890.0,-1.0,62,10
63,strategy_5,2499880.0,-1.0,63,10
64,strategy_5,2499870.0,-1.0,64,10
65,strategy_5,2499880.0,1.0,65,10
66,strategy_5,2499870.0,-1.0,66,10
67,strategy_5,2499860.0,-1.0,67,10
68,strategy_5,2499850.0,-1.0,68,10
69,strategy_5,2499840.0,-1.0,69,10
70,strategy_5,2499830.0,-1.0,70,10
71,strategy_5,2499820.0,-1.0,71,10
72,strategy_5,2499810.0,-1.0,72,10
73,strategy_5,2499800.0,-1.0,73,10
74,strategy_5,2499790.0,-1.0,74,10
75,strategy_5,2499780.0,-1.0,75,10
76,strategy_5,2499790.0,1.0,76,10
77,strategy_5,2499805.0,1.5,77,10
78,strategy_5,2499795.0,-1.0,78,10
79,strategy_5,2499785.0,-1.0,79,10
80,strategy_5,2499795.0,1.0,80,10
81,strategy_5,2499795.0,0.0,81,10
82,strategy_5,2499785.0,-1.0,82,10
83,strategy_5,2499775.0,-1.0,83,10
84,strategy_5,2499785.0,1.0,84,10
85,strategy_5,2499775.0,-1.0,85,10
86,strategy_5,2499765.0,-1.0,86,10
87,strategy_5,2499755.0,-1.0,87,10
88,strategy_5,2499745.0,-1.0,88,10
89,strategy_5,2499755.0,1.0,89,10
90,strategy_5,2499745.0,-1.0,90,10
91,strategy_5,2499735.0,-1.0,91,10
92,strategy_5,2499725.0,-1.0,92,10
93,strategy_5,2499715.0,-1.0,93,10
94,strategy_5,2499725.0,1.0,94,10
95,strategy_5,2499735.0,1.0,95,10
96,strategy_5,2499735.0,0.0,96,10
97,strategy_5,2499745.0,1.0,97,10
98,strategy_5,2499735.0,-1.0,98,10
99,strategy_5,2499745.0,1.0,99,10
100,strategy_5,2499735.0,-1.0,100,10
